VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,여행일수,방문지역,거주지,연령대,동행유형
2304290002,f_f000007,2,W 웨딩,2023-04-29,2023-04-29,부산 연제구 중앙대로 1000,부산 연제구 연산동 1422-8,129.0755223,35.1777544,,,POI01000000ET1TMJ,더블유웨딩,120,12,N,11,,4,3,3,,2023-04-29,2023-05-02,,"부산,울산,경남 방문/경상권 외 거주/39세 이하/부부/일반미션",4,"부산,울산,경남 방문",경상권 외 거주,39세 이하,부부
2304290003,f_f000007,3,해돈촌 돼지국밥,2023-04-29,2023-04-29,부산 연제구 연제로 27,부산 연제구 연산동 867-51,129.076619,35.1773769,,,POI0100000085L89B,애돈촌돼지국밥,30,11,N,2,,4,2,2,,2023-04-29,2023-05-02,,"부산,울산,경남 방문/경상권 외 거주/39세 이하/부부/일반미션",4,"부산,울산,경남 방문",경상권 외 거주,39세 이하,부부
2304290004,f_f000007,4,딥플로우 브루잉,2023-04-29,2023-04-29,부산 수영구 수영로510번길 20,부산 수영구 광안동 186-7,129.1125313,35.1509989,,,POI02001TR008519V,딥플로우 브루잉,120,11,Y,4,,5,5,5,,2023-04-29,2023-05-02,,"부산,울산,경남 방문/경상권 외 거주/39세 이하/부부/일반미션",4,"부산,울산,경남 방문",경상권 외 거주,39세 이하,부부
2304290006,f_f000007,5,시고 조개구이,2023-04-29,2023-04-29,부산 남구 수영로322번길 33 2층 시소,부산 남구 수영로322번길 33 2층 시소,129.1022494,35.1364674,,,POI02001TR018496V,시소조개구이,120,11,N,5,,5,5,5,2629010600,2023-04-29,2023-05-02,,"부산,울산,경남 방문/경상권 외 거주/39세 이하/부부/일반미션",4,"부산,울산,경남 방문",경상권 외 거주,39세 이하,부부
2304290007,f_f000007,7,비치그린아파트,2023-04-29,2023-04-30,부산 수영구 광일로 49,부산 수영구 광안동 529,129.1083571,35.1617791,,,POI01000000BYY4KR,비치그린아파트,150,22,,,,,,,,2023-04-29,2023-05-02,,"부산,울산,경남 방문/경상권 외 거주/39세 이하/부부/일반미션",4,"부산,울산,경남 방문",경상권 외 거주,39세 이하,부부
2304290008,f_f000007,6,GS 더 프레시 경성 부경대점,2023-04-29,2023-04-29,부산 남구 수영로322번길 33,부산 남구 대연동 52-8,129.1022012,35.1364583,,,POI02001TR000468V,GS더프레시 경성부경대점,30,10,N,9,,4,4,4,,2023-04-29,2023-05-02,,"부산,울산,경남 방문/경상권 외 거주/39세 이하/부부/일반미션",4,"부산,울산,경남 방문",경상권 외 거주,39세 이하,부부
2304300001,f_f000007,8,구자운 과자점 교대점,2023-04-30,2023-04-30,부산 연제구 세병로 29,부산 연제구 연산동 579-8,129.0836994,35.1910024,,,POI02001TR003507V,구자윤과자점 교대점,30,11,N,5,,5,5,5,,2023-04-29,2023-05-02,,"부산,울산,경남 방문/경상권 외 거주/39세 이하/부부/일반미션",4,"부산,울산,경남 방문",경상권 외 거주,39세 이하,부부
2304300002,f_f000007,9,회동수원지,2023-04-30,2023-04-30,,부산 금정구 선동 121,129.111157,35.2587639,,,POI01000TR036834V,회동수원지,30,1,N,1,,5,5,5,,2023-04-29,2023-05-02,,"부산,울산,경남 방문/경상권 외 거주/39세 이하/부부/일반미션",4,"부산,울산,경남 방문",경상권 외 거주,39세 이하,부부
2304300003,f_f000007,10,범어사,2023-04-30,2023-04-30,부산 금정구 범어사로 250,부산 금정구 청룡동 546,129.0684598,35.283519,,,POI01000TR011035V,범어사,30,2,N,2,,4,4,4,,2023-04-29,2023-05-02,,"부산,울산,경남 방문/경상권 외 거주/39세 이하/부부/일반미션",4,"부산,울산,경남 방문",경상권 외 거주,39세 이하,부부
2304300004,f_f000007,11,한터 빌,2023-04-30,2023-04-30,부산 금정구 남산냇길 20,부산 금정구 남산동 195-1,129.0886365,35.2730469,,,POI01000000C8X20F,한터빌,120,22,Y,11,,4,4,4,,2023-04-29,2023-05-02,,"부산,울산,경남 방문/경상권 외 거주/39세 이하/부부/일반미션",4,"부산,울산,경남 방문",경상권 외 거주,39세 이하,부부
2304300005,f_f000007,12,방어진항 남 방파제,2023-04-30,2023-04-30,,울산 동구 방어동 850-1,129.4280829,35.4805036,,,POI02001TR011984V,방어진항 남방파제,30,7,Y,4,,4,4,4,,2023-04-29,2023-05-02,,"부산,울산,경남 방문/경상권 외 거주/39세 이하/부부/일반미션",4,"부산,울산,경남 방문",경상권 외 거주,39세 이하,부부
2304300006,f_f000007,13,월드 스카이파크 아파트,2023-04-30,2023-05-01,울산 동구 상진2길 25,울산 동구 방어동 308-3,129.4218511,35.4840241,,,POI02001TR023104V,월드스카이파크아파트,300,22,,,,,,,,2023-04-29,2023-05-02,,"부산,울산,경남 방문/경상권 외 거주/39세 이하/부부/일반미션",4,"부산,울산,경남 방문",경상권 외 거주,39세 이하,부부
2305010001,f_f000007,14,슬도,2023-05-01,2023-05-01,,울산 동구 방어동,129.4308379,35.4782712,,,POI01000TR011850V,슬도,60,1,N,5,,5,4,4,,2023-04-29,2023-05-02,,"부산,울산,경남 방문/경상권 외 거주/39세 이하/부부/일반미션",4,"부산,울산,경남 방문",경상권 외 거주,39세 이하,부부
